Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales,Customer_Name,Gender,Age,City,Loyalty_Status,Product_Name,Category,Brand,Price,Supplier,Month,Year,Day
O000032,2025-12-10,C00058,P0038,Store,1,4240,4240,Kyle Torres,Female,53,Mumbai,Gold,Appear Footwea,Footwear,Samsung,4240,Huerta Inc,12,2025,Wednesday
O000033,2025-05-27,C00700,P0069,Mobile App,2,3670,7340,William Mitchell,Male,24,Kolkata,Gold,Glass Beaut,Beauty,H&M,3670,Burgess-Miranda,5,2025,Tuesday
O000034,2025-12-20,C00804,P0038,Mobile App,1,4240,4240,Cheryl Murray,Male,33,Hyderabad,Silver,Appear Footwea,Footwear,Samsung,4240,Huerta Inc,12,2025,Saturday
O000035,2025-01-17,C00368,P0053,Marketplace,5,2791,13955,Barbara Smith,Female,19,Mumbai,Platinum,Mouth Footwea,Footwear,H&M,2791,Jimenez LLC,1,2025,Friday
O000036,2026-03-21,C00692,P0027,Store,5,10180,50900,Timothy Ballard,Male,21,Bangalore,Platinum,Interest Footwea,Footwear,Adidas,10180,"Lynch, Collins and Fowler",3,2026,Saturday
O000037,2025-07-19,C00244,P0191,Mobile App,5,7984,39920,Taylor Romero,Male,50,Chennai,Platinum,But Electronic,Electronics,Apple,7984,"Smith, Hughes and Gonzalez",7,2025,Saturday
O000038,2026-04-20,C00391,P0178,Marketplace,1,11297,11297,Leslie Scott,Female,47,Delhi,Gold,Dog Sport,Sports,H&M,11297,"Pham, Thompson and Dixon",4,2026,Monday
O000039,2026-05-10,C00566,P0107,Online,3,8438,25314,Stacey Bennett,Female,52,Chennai,Platinum,Interview Beaut,Beauty,Zara,8438,"Benson, Jimenez and Chang",5,2026,Sunday
O000040,2025-04-14,C00636,P0004,Marketplace,3,9874,29622,Erin Rice,Female,18,Hyderabad,Silver,Entire Electronic,Electronics,Adidas,9874,Wall-Peters,4,2025,Monday
O000041,2026-01-22,C00603,P0058,Store,3,2704,8112,Kevin Barnett,Female,38,Mumbai,Platinum,Nearly Sport,Sports,Apple,2704,Johnston-Holden,1,2026,Thursday
O000042,2025-05-31,C00460,P0199,Store,2,14099,28198,Sherri Blair,Male,39,Mumbai,Gold,Or Beaut,Beauty,Apple,14099,Kim-Fields,5,2025,Saturday
O000043,2025-04-06,C00986,P0175,Store,1,5544,5544,Tracy Stephens,Male,57,Bangalore,Gold,Center Footwea,Footwear,H&M,5544,"Blake, Rodriguez and Crawford",4,2025,Sunday
O000044,2025-03-03,C00387,P0189,Online,5,3880,19400,Haley White,Female,58,Chennai,Gold,Wrong Clothin,Clothing,Sony,3880,"Orozco, Farrell and Martinez",3,2025,Monday
O000045,2025-10-12,C00271,P0110,Store,3,9949,29847,Andrew Lee,Male,38,Chennai,Gold,As Clothin,Clothing,Adidas,9949,Anderson-Mitchell,10,2025,Sunday
O000046,2026-03-10,C00262,P0042,Online,5,8548,42740,Jessica Hobbs,Female,58,Mumbai,Silver,Sure Clothin,Clothing,Samsung,8548,Cunningham LLC,3,2026,Tuesday
O000047,2025-12-30,C00960,P0085,Store,4,10996,43984,Sharon Campbell,Male,31,Hyderabad,Platinum,Friend Electronic,Electronics,Adidas,10996,Barton PLC,12,2025,Tuesday
O000048,2026-04-21,C00331,P0011,Online,2,4752,9504,Chad Smith,Male,22,Hyderabad,Gold,Try Hom,Home,Puma,4752,Hall PLC,4,2026,Tuesday
O000049,2026-03-08,C00678,P0199,Mobile App,5,14099,70495,Billy Golden,Female,22,Hyderabad,Silver,Or Beaut,Beauty,Apple,14099,Kim-Fields,3,2026,Sunday
O000050,2025-10-09,C00367,P0126,Online,5,11142,55710,Robert Hernandez,Male,30,Delhi,Silver,Religious Sport,Sports,Nike,11142,"Harris, Grant and Blair",10,2025,Thursday
O000051,2025-09-27,C00226,P0182,Store,3,7243,21729,Richard Taylor,Female,39,Mumbai,Silver,Style Footwea,Footwear,Apple,7243,Winters-Reid,9,2025,Saturday
O000052,2026-02-07,C00518,P0134,Store,1,14062,14062,Amanda Stephens,Female,44,Delhi,Gold,Kid Hom,Home,Sony,14062,Buchanan-Beck,2,2026,Saturday
O000053,2025-10-02,C00414,P0107,Online,5,8438,42190,Chad Rodriguez,Male,30,Chennai,Platinum,Interview Beaut,Beauty,Zara,8438,"Benson, Jimenez and Chang",10,2025,Thursday
O000054,2026-03-29,C00219,P0090,Mobile App,2,13316,26632,Christopher Gutierrez,Female,24,Chennai,Platinum,Choice Hom,Home,Puma,13316,"Beltran, Bailey and Young",3,2026,Sunday
O000055,2025-05-31,C00224,P0085,Marketplace,3,10996,32988,Laura Peterson,Male,56,Hyderabad,Platinum,Friend Electronic,Electronics,Adidas,10996,Barton PLC,5,2025,Saturday
O000056,2025-02-28,C00685,P0144,Mobile App,1,7241,7241,Randy Mcbride,Male,54,Bangalore,Gold,Move Beaut,Beauty,Samsung,7241,"Garcia, Baker and Garcia",2,2025,Friday
O000057,2026-04-09,C00658,P0115,Store,2,4472,8944,Jennifer Meza,Female,20,Mumbai,Silver,Back Beaut,Beauty,Puma,4472,Fitzgerald-Davis,4,2026,Thursday
O000058,2025-07-15,C00938,P0011,Online,3,4752,14256,Joy Weaver,Male,46,Mumbai,Silver,Try Hom,Home,Puma,4752,Hall PLC,7,2025,Tuesday
O000059,2025-10-04,C00742,P0099,Mobile App,3,3702,11106,Troy Hayes,Female,28,Mumbai,Silver,Traditional Hom,Home,Zara,3702,"Soto, Robertson and Newman",10,2025,Saturday
O000060,2026-02-25,C00789,P0007,Mobile App,5,9395,46975,Sean Swanson,Female,43,Bangalore,Silver,Site Beaut,Beauty,Nike,9395,"Gonzales, Lynch and Griffith",2,2026,Wednesday
O000061,2025-08-17,C00499,P0132,Online,5,11463,57315,Zachary Jackson,Male,32,Kolkata,Silver,Lose Footwea,Footwear,Apple,11463,"Norman, Yates and Clark",8,2025,Sunday
O000062,2025-06-14,C00527,P0076,Online,2,9841,19682,Christie Jones,Male,22,Delhi,Platinum,Onto Beaut,Beauty,Apple,9841,"Rodriguez, Richardson and Baker",6,2025,Saturday
O000063,2026-05-13,C00980,P0025,Online,2,6265,12530,Dr. Cody Manning MD,Male,25,Bangalore,Gold,Type Footwea,Footwear,Samsung,6265,Thomas Group,5,2026,Wednesday
O000064,2025-04-18,C00687,P0161,Store,1,5953,5953,Kimberly Torres,Female,19,Kolkata,Silver,Perform Electronic,Electronics,Sony,5953,"Mclean, Smith and Whitehead",4,2025,Friday
O000065,2026-03-04,C00107,P0176,Store,4,9283,37132,Jeremiah Wiggins,Female,57,Bangalore,Platinum,Clearly Hom,Home,Sony,9283,Dunn-Callahan,3,2026,Wednesday
O000066,2025-11-28,C00837,P0138,Online,4,2847,11388,William Roberts,Female,40,Chennai,Gold,In Clothin,Clothing,Sony,2847,Bush-Lambert,11,2025,Friday
O000067,2025-01-13,C00471,P0192,Mobile App,2,7661,15322,Ricky Browning,Female,35,Mumbai,Gold,Suddenly Beaut,Beauty,Adidas,7661,Moss-Ware,1,2025,Monday
O000068,2025-02-07,C00056,P0010,Store,1,11638,11638,Rachel Hayes,Female,60,Chennai,Gold,Son Electronic,Electronics,Samsung,11638,Cisneros and Sons,2,2025,Friday
O000069,2025-02-06,C00589,P0065,Store,5,13569,67845,Sue Gardner,Female,42,Kolkata,Platinum,Almost Sport,Sports,Zara,13569,Cisneros LLC,2,2025,Thursday
O000070,2025-07-18,C00462,P0067,Marketplace,4,9207,36828,Amy Rosales,Female,30,Kolkata,Gold,Involve Sport,Sports,Zara,9207,Hudson Inc,7,2025,Friday
O000071,2025-01-09,C00399,P0111,Online,3,6815,20445,Robert Hoffman,Female,30,Delhi,Gold,Together Electronic,Electronics,Apple,6815,"Adams, Walton and Huff",1,2025,Thursday
O000072,2025-11-25,C00738,P0137,Online,1,12834,12834,Ryan Walton,Female,35,Chennai,Silver,Thousand Electronic,Electronics,Puma,12834,"Walters, Payne and Smith",11,2025,Tuesday
O000073,2025-01-24,C00718,P0194,Online,5,8299,41495,Brittney Cummings,Female,26,Bangalore,Platinum,American Sport,Sports,H&M,8299,Harris-Smith,1,2025,Friday
O000074,2025-02-24,C00297,P0092,Mobile App,5,2496,12480,Derek Williams,Male,37,Bangalore,Silver,Again Clothin,Clothing,Zara,2496,"Stephens, Murphy and Taylor",2,2025,Monday
O000075,2025-05-25,C00784,P0156,Marketplace,1,3844,3844,Jeremy Chan,Female,58,Hyderabad,Silver,Appear Electronic,Electronics,Zara,3844,"Strickland, Kelly and Lewis",5,2025,Sunday
O000076,2026-02-25,C00677,P0098,Online,4,6858,27432,Caroline Hayes,Female,58,Bangalore,Gold,Take Clothin,Clothing,Samsung,6858,Rivera-Noble,2,2026,Wednesday
O000077,2025-10-01,C00226,P0122,Store,2,5918,11836,Richard Taylor,Female,39,Mumbai,Silver,Civil Footwea,Footwear,Samsung,5918,Jones Group,10,2025,Wednesday
O000078,2026-02-12,C00817,P0192,Mobile App,4,7661,30644,Kristin Shea,Male,25,Chennai,Gold,Suddenly Beaut,Beauty,Adidas,7661,Moss-Ware,2,2026,Thursday
O000079,2025-06-02,C00694,P0163,Mobile App,2,652,1304,David Taylor,Male,24,Kolkata,Silver,Everything Beaut,Beauty,Puma,652,"Cherry, Stark and Riley",6,2025,Monday
O000080,2026-03-24,C00569,P0003,Store,5,12266,61330,Allen Sanchez,Female,22,Mumbai,Silver,North Clothin,Clothing,Samsung,12266,"Briggs, Johnson and Cantrell",3,2026,Tuesday
O000081,2025-01-03,C00587,P0032,Marketplace,1,3952,3952,Megan Johnston,Female,53,Kolkata,Platinum,Military Footwea,Footwear,Nike,3952,Patton and Sons,1,2025,Friday
O000082,2026-04-30,C00088,P0138,Mobile App,5,2847,14235,Jesse Pham,Male,22,Kolkata,Silver,In Clothin,Clothing,Sony,2847,Bush-Lambert,4,2026,Thursday
O000083,2025-04-19,C00423,P0054,Store,3,12030,36090,Jessica Rollins,Male,44,Chennai,Gold,Three Hom,Home,Nike,12030,Todd-Wagner,4,2025,Saturday
O000084,2025-04-24,C00632,P0042,Mobile App,2,8548,17096,Holly Obrien,Female,32,Bangalore,Platinum,Sure Clothin,Clothing,Samsung,8548,Cunningham LLC,4,2025,Thursday
O000085,2025-04-03,C00688,P0050,Online,1,11369,11369,Scott Wright,Female,47,Kolkata,Gold,Particularly Sport,Sports,Adidas,11369,"Brown, Harris and Lopez",4,2025,Thursday
O000086,2025-08-25,C00661,P0193,Online,5,11969,59845,Olivia Duncan,Male,35,Chennai,Gold,Respond Hom,Home,Apple,11969,"Jones, Harris and Boyd",8,2025,Monday
O000087,2025-05-09,C00101,P0075,Store,1,9838,9838,Jonathan Burgess,Female,44,Hyderabad,Gold,Official Footwea,Footwear,Nike,9838,"Ross, Lane and Roth",5,2025,Friday
O000088,2025-09-07,C00975,P0186,Mobile App,5,10994,54970,Kenneth Johnson,Male,36,Mumbai,Platinum,Leg Sport,Sports,Samsung,10994,Cobb LLC,9,2025,Sunday
O000089,2025-12-10,C00672,P0092,Store,2,2496,4992,John Gonzalez,Female,50,Hyderabad,Silver,Again Clothin,Clothing,Zara,2496,"Stephens, Murphy and Taylor",12,2025,Wednesday
O000090,2025-11-14,C00072,P0026,Store,3,11180,33540,Jerry Walker,Male,43,Bangalore,Silver,Relationship Footwea,Footwear,Apple,11180,"Villanueva, Clarke and Gray",11,2025,Friday
O000091,2025-08-19,C00337,P0082,Mobile App,4,9034,36136,Mary Valdez,Female,25,Mumbai,Gold,Represent Hom,Home,Apple,9034,Arias-Cherry,8,2025,Tuesday
O000092,2025-03-20,C00580,P0178,Mobile App,5,11297,56485,Charles Castaneda,Male,23,Mumbai,Silver,Dog Sport,Sports,H&M,11297,"Pham, Thompson and Dixon",3,2025,Thursday
O000093,2025-03-28,C00005,P0081,Mobile App,4,11160,44640,Michelle Mendoza,Female,51,Bangalore,Platinum,None Clothin,Clothing,Sony,11160,Williams Group,3,2025,Friday
O000094,2025-12-31,C00758,P0064,Marketplace,2,1603,3206,Jeremy Acosta,Male,32,Chennai,Gold,Carry Clothin,Clothing,Adidas,1603,Nguyen LLC,12,2025,Wednesday
O000095,2025-03-10,C00696,P0071,Mobile App,3,11204,33612,Kimberly Doyle,Male,51,Hyderabad,Gold,Certain Footwea,Footwear,H&M,11204,Cooper-Ramos,3,2025,Monday
O000096,2025-08-17,C00368,P0123,Mobile App,4,6254,25016,Barbara Smith,Female,19,Mumbai,Platinum,Line Electronic,Electronics,Apple,6254,"Pittman, Newman and Knox",8,2025,Sunday
O000097,2025-02-25,C00180,P0125,Online,5,10221,51105,Mark Mckee,Male,44,Hyderabad,Silver,Avoid Beaut,Beauty,Sony,10221,Underwood-Mays,2,2025,Tuesday
O000098,2026-04-02,C00552,P0072,Store,2,7377,14754,Crystal Calderon,Male,19,Chennai,Platinum,Institution Sport,Sports,Puma,7377,Pearson-Craig,4,2026,Thursday
O000099,2026-01-08,C00078,P0068,Online,1,8845,8845,Michael Hudson,Female,54,Chennai,Silver,Purpose Clothin,Clothing,Sony,8845,"Cruz, Brown and Johnson",1,2026,Thursday
O000100,2026-02-21,C00596,P0130,Marketplace,1,4662,4662,Michael Aguirre,Female,56,Chennai,Silver,Build Beaut,Beauty,Samsung,4662,Berry and Sons,2,2026,Saturday
O000101,2025-04-19,C00929,P0197,Online,5,3785,18925,Jeff Middleton,Female,55,Mumbai,Gold,Movement Electronic,Electronics,H&M,3785,Welch LLC,4,2025,Saturday
O000102,2025-10-06,C00916,P0142,Marketplace,3,9138,27414,Courtney Jennings,Female,30,Delhi,Platinum,Take Sport,Sports,Samsung,9138,Marshall-Marquez,10,2025,Monday
O000103,2025-07-07,C00402,P0168,Store,2,6511,13022,Ricardo Skinner,Female,33,Delhi,Platinum,Deal Beaut,Beauty,Adidas,6511,"Leblanc, Kim and Oconnor",7,2025,Monday
O000104,2026-01-11,C00878,P0198,Mobile App,5,1022,5110,Sylvia Terry,Female,52,Mumbai,Gold,Data Clothin,Clothing,Zara,1022,Taylor LLC,1,2026,Sunday
O000105,2025-09-14,C00523,P0035,Online,4,3683,14732,Michelle Campbell,Male,42,Delhi,Gold,Could Beaut,Beauty,Puma,3683,Williams PLC,9,2025,Sunday
O000106,2025-09-15,C00011,P0102,Store,3,4873,14619,Spencer Meadows,Female,39,Chennai,Gold,Author Footwea,Footwear,Zara,4873,Steele-Dominguez,9,2025,Monday
O000107,2026-01-23,C00527,P0158,Store,2,3852,7704,Christie Jones,Male,22,Delhi,Platinum,Soon Footwea,Footwear,Apple,3852,"Kemp, Johnson and Dunn",1,2026,Friday
O000108,2025-04-02,C00580,P0115,Store,2,4472,8944,Charles Castaneda,Male,23,Mumbai,Silver,Back Beaut,Beauty,Puma,4472,Fitzgerald-Davis,4,2025,Wednesday
O000109,2026-04-26,C00368,P0189,Online,4,3880,15520,Barbara Smith,Female,19,Mumbai,Platinum,Wrong Clothin,Clothing,Sony,3880,"Orozco, Farrell and Martinez",4,2026,Sunday
O000110,2025-04-29,C00065,P0057,Mobile App,4,13989,55956,Teresa Friedman,Male,41,Delhi,Gold,Task Sport,Sports,Sony,13989,Diaz-Murray,4,2025,Tuesday
O000111,2025-01-22,C00685,P0095,Store,2,13438,26876,Randy Mcbride,Male,54,Bangalore,Gold,Scene Electronic,Electronics,Zara,13438,Munoz Group,1,2025,Wednesday
O000112,2025-07-18,C00481,P0133,Marketplace,3,8480,25440,Julie Ochoa,Female,51,Hyderabad,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,7,2025,Friday
O000113,2025-11-29,C00332,P0012,Online,1,12709,12709,Mary Garcia,Male,36,Delhi,Silver,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,11,2025,Saturday
O000114,2025-11-21,C00850,P0181,Mobile App,5,5178,25890,Randy Reid,Female,27,Kolkata,Gold,Area Beaut,Beauty,Nike,5178,Anderson Group,11,2025,Friday
O000115,2025-10-24,C00558,P0190,Store,3,600,1800,Elizabeth Warner,Male,32,Mumbai,Platinum,Behind Clothin,Clothing,Samsung,600,Scott PLC,10,2025,Friday
O000116,2025-07-07,C00602,P0097,Online,4,1728,6912,Thomas Porter,Male,48,Mumbai,Silver,Give Sport,Sports,Nike,1728,Henderson and Sons,7,2025,Monday
O000117,2025-07-12,C00997,P0133,Store,3,8480,25440,Thomas Elliott,Female,38,Delhi,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,7,2025,Saturday
O000118,2025-06-30,C00837,P0133,Mobile App,4,8480,33920,William Roberts,Female,40,Chennai,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,6,2025,Monday
O000119,2026-03-31,C00619,P0125,Online,4,10221,40884,Jay Richardson,Male,24,Mumbai,Silver,Avoid Beaut,Beauty,Sony,10221,Underwood-Mays,3,2026,Tuesday
O000120,2025-08-14,C00170,P0129,Store,2,12363,24726,Jeffrey Hoffman,Female,55,Bangalore,Platinum,Agency Electronic,Electronics,Adidas,12363,"Edwards, Bailey and Martin",8,2025,Thursday
O000121,2025-11-26,C00288,P0020,Store,5,950,4750,John Palmer,Male,31,Mumbai,Gold,Cold Clothin,Clothing,Adidas,950,Watson Inc,11,2025,Wednesday
O000122,2025-03-22,C00371,P0039,Online,2,12439,24878,William Rodriguez,Female,51,Bangalore,Gold,Member Sport,Sports,Sony,12439,"Davis, Braun and Lozano",3,2025,Saturday
O000123,2025-08-01,C00831,P0170,Mobile App,2,227,454,Julia Burns,Male,58,Kolkata,Platinum,Someone Electronic,Electronics,H&M,227,"Park, Sweeney and Mason",8,2025,Friday
O000124,2025-09-04,C00692,P0185,Marketplace,1,13204,13204,Timothy Ballard,Male,21,Bangalore,Platinum,Check Clothin,Clothing,Zara,13204,Dickson Group,9,2025,Thursday
O000125,2025-10-30,C00166,P0123,Marketplace,2,6254,12508,James Wallace,Male,27,Delhi,Platinum,Line Electronic,Electronics,Apple,6254,"Pittman, Newman and Knox",10,2025,Thursday
O000126,2025-01-23,C00131,P0006,Store,2,4011,8022,Debbie Jenkins,Female,34,Mumbai,Platinum,Still Electronic,Electronics,Apple,4011,Hernandez-Fernandez,1,2025,Thursday
O000127,2025-01-21,C00913,P0035,Store,5,3683,18415,Donna Walters,Female,37,Hyderabad,Silver,Could Beaut,Beauty,Puma,3683,Williams PLC,1,2025,Tuesday
O000128,2025-05-13,C00945,P0015,Store,2,13423,26846,Darrell Johnson,Male,32,Hyderabad,Gold,Garden Footwea,Footwear,Sony,13423,Morris and Sons,5,2025,Tuesday
O000129,2025-11-03,C00993,P0133,Online,4,8480,33920,Marie Olson,Male,48,Mumbai,Platinum,Fight Sport,Sports,Sony,8480,Bender-Hunter,11,2025,Monday
O000130,2026-04-30,C00088,P0185,Store,3,13204,39612,Jesse Pham,Male,22,Kolkata,Silver,Check Clothin,Clothing,Zara,13204,Dickson Group,4,2026,Thursday
O000131,2025-08-30,C00889,P0115,Marketplace,5,4472,22360,Raymond Vazquez,Male,46,Delhi,Gold,Back Beaut,Beauty,Puma,4472,Fitzgerald-Davis,8,2025,Saturday
O000132,2026-03-02,C00421,P0044,Store,2,2704,5408,Jamie Anthony,Female,54,Mumbai,Gold,Those Electronic,Electronics,Adidas,2704,"Green, Collier and Hester",3,2026,Monday
O000133,2025-11-16,C00676,P0150,Mobile App,2,4078,8156,Michele Novak,Female,27,Chennai,Platinum,Believe Sport,Sports,Samsung,4078,Smith-Richmond,11,2025,Sunday
O000134,2026-04-18,C00465,P0043,Online,3,12582,37746,Richard Gutierrez,Female,54,Hyderabad,Silver,Grow Hom,Home,Adidas,12582,Wilson-Palmer,4,2026,Saturday
O000135,2025-07-17,C00136,P0059,Online,4,9037,36148,Julia King,Female,32,Hyderabad,Silver,Simple Footwea,Footwear,Samsung,9037,"Gonzalez, Bates and Ross",7,2025,Thursday
O000136,2025-09-25,C00881,P0005,Marketplace,2,688,1376,Randall Gomez,Female,27,Chennai,Platinum,Peace Hom,Home,Nike,688,"Miller, Gibbs and Underwood",9,2025,Thursday
O000137,2025-02-19,C00182,P0039,Marketplace,5,12439,62195,Stephanie Sutton,Male,41,Delhi,Gold,Member Sport,Sports,Sony,12439,"Davis, Braun and Lozano",2,2025,Wednesday
O000138,2025-01-20,C00899,P0158,Online,5,3852,19260,Kim Gibson,Female,29,Bangalore,Platinum,Soon Footwea,Footwear,Apple,3852,"Kemp, Johnson and Dunn",1,2025,Monday
O000139,2025-12-04,C00134,P0024,Online,4,10615,42460,Susan Roberts,Female,52,Kolkata,Platinum,Fly Footwea,Footwear,Zara,10615,Payne-Pollard,12,2025,Thursday
O000140,2025-09-25,C00431,P0199,Mobile App,4,14099,56396,Thomas Lewis,Male,44,Chennai,Platinum,Or Beaut,Beauty,Apple,14099,Kim-Fields,9,2025,Thursday
O000141,2025-08-08,C00235,P0012,Marketplace,5,12709,63545,Allen Cordova,Female,49,Chennai,Gold,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,8,2025,Friday
O000142,2025-06-29,C00604,P0197,Online,4,3785,15140,Gary Wilkins,Female,54,Delhi,Gold,Movement Electronic,Electronics,H&M,3785,Welch LLC,6,2025,Sunday
O000143,2025-05-11,C00489,P0109,Store,2,14148,28296,Chloe Moore,Female,37,Hyderabad,Silver,Join Beaut,Beauty,Adidas,14148,Holt-Miller,5,2025,Sunday
O000144,2025-11-03,C00898,P0022,Marketplace,3,14213,42639,Timothy Jones,Male,33,Mumbai,Gold,Guess Footwea,Footwear,Adidas,14213,"Wallace, Martin and Rocha",11,2025,Monday
O000145,2025-01-03,C00727,P0066,Online,2,2303,4606,Theresa Copeland,Male,50,Delhi,Silver,Arm Electronic,Electronics,Samsung,2303,"Lopez, Compton and Turner",1,2025,Friday
